Bing Spatial Data Services, 2.0
Id, GeocodeRequest/Culture, GeocodeRequest/Query, GeocodeRequest/Address/AddressLine, GeocodeRequest/Address/AdminDistrict, GeocodeRequest/Address/CountryRegion, GeocodeRequest/Address/AdminDistrict2, GeocodeRequest/Address/FormattedAddress, GeocodeRequest/Address/Locality, GeocodeRequest/Address/PostalCode, GeocodeRequest/Address/PostalTown, GeocodeRequest/ConfidenceFilter/MinimumConfidence,ReverseGeocodeRequest/IncludeEntityTypes, ReverseGeocodeRequest/Location/Latitude, ReverseGeocodeRequest/Location/Longitude, GeocodeResponse/Address/AddressLine, GeocodeResponse/Address/AdminDistrict, GeocodeResponse/Address/CountryRegion, GeocodeResponse/Address/AdminDistrict2, GeocodeResponse/Address/FormattedAddress, GeocodeResponse/Address/Locality, GeocodeResponse/Address/PostalCode, GeocodeResponse/Address/PostalTown, GeocodeResponse/Address/Neighborhood, GeocodeResponse/Address/Landmark, GeocodeResponse/Confidence, GeocodeResponse/Name, GeocodeResponse/EntityType, GeocodeResponse/MatchCodes, GeocodeResponse/Point/Latitude, GeocodeResponse/Point/Longitude, GeocodeResponse/BoundingBox/SouthLatitude, GeocodeResponse/BoundingBox/WestLongitude,GeocodeResponse/BoundingBox/NorthLatitude,GeocodeResponse/BoundingBox/EastLongitude, GeocodeResponse/QueryParseValues, GeocodeResponse/GeocodePoints, StatusCode, FaultReason, TraceId
182,en-US,"35-24 78th Street ,  Queens, NY"
183,en-US,"400 Central Park West ,  Manhattan, NY"
184,en-US,"37-30 103rd Street ,  Queens, NY"
185,en-US,"136-35 Jewel Avenue ,  Queens, NY"
186,en-US,"345 East 81st Street ,  Manhattan, NY"
187,en-US,"225 East 34th Street ,  Manhattan, NY"
188,en-US,"176 Broadway ,  Manhattan, NY"
189,en-US,"5425 Valles Avenue ,  Bronx, NY"
190,en-US,"41 Clarkson Avenue ,  Brooklyn, NY"
191,en-US,"768 5th Avenue ,  Manhattan, NY"
192,en-US,"470 Broome Street ,  Manhattan, NY"
193,en-US,"2 South End Avenue ,  Manhattan, NY"
194,en-US,"106 Central Park South ,  Manhattan, NY"
195,en-US,"709 Sackett Street ,  Brooklyn, NY"
196,en-US,"500 4th Avenue ,  Brooklyn, NY"
197,en-US,"201 East 79th Street ,  Manhattan, NY"
198,en-US,"15 Broad Street ,  Manhattan, NY"
199,en-US,"1212 5th Avenue ,  Manhattan, NY"
200,en-US,"400 East 67th Street ,  Manhattan, NY"
201,en-US,"151 West 17th Street ,  Manhattan, NY"
202,en-US,"199 Mott Street ,  Manhattan, NY"
203,en-US,"184 Columbia Heights ,  Brooklyn, NY"
204,en-US,"3806 15th Avenue ,  Brooklyn, NY"
205,en-US,"325 East 80th Street ,  Manhattan, NY"
206,en-US,"323 2nd Street ,  Brooklyn, NY"
